round,test_acc,test_loss,sum_byz
0,0.127100,2.303869,0.000000
10,0.522700,2.014205,0.000000
20,0.523400,1.633756,0.000000
30,0.532300,1.422072,0.000000
40,0.541800,1.280291,0.000000
50,0.552200,1.174533,0.000000
60,0.572900,1.089783,0.000000
70,0.609200,1.018195,0.000000
80,0.646900,0.956665,0.000000
90,0.681500,0.903310,0.000000
100,0.711100,0.855445,0.000000
110,0.735400,0.813231,0.000000
120,0.755400,0.775944,0.000000
130,0.772600,0.742162,0.000000
140,0.784100,0.713226,0.000000
150,0.795200,0.687108,0.000000
160,0.806500,0.663987,0.000000
170,0.816200,0.643132,0.000000
180,0.822600,0.625617,0.000000
190,0.828300,0.609553,0.000000
200,0.834200,0.594530,0.000000
