round,cohort_size,sum_w_cohort,avg_w_cohort,avg_norm_cached_g,avg_cos_cached_vs_honest_mean,n_in_S_t,decay_factor_this_round
0,80,0.620155,0.007752,0.000000,+0.000000,80,0.995000
1,80,0.547945,0.006849,0.000000,+0.000000,80,0.995000
2,80,0.588235,0.007353,0.000000,+0.000000,80,0.995000
3,80,0.672269,0.008403,0.000000,+0.000000,80,0.995000
4,80,0.666667,0.008333,0.000000,+0.000000,80,0.995000
5,80,0.613963,0.007675,0.000000,+0.000000,80,0.995000
6,80,0.628007,0.007850,0.000000,+0.000000,80,0.995000
7,80,0.592951,0.007412,0.000000,+0.000000,80,0.995000
8,80,0.582651,0.007283,0.000000,+0.000000,80,0.995000
9,80,0.624372,0.007805,0.000000,+0.000000,80,0.995000
10,80,0.655738,0.008197,0.000000,+0.000000,80,0.995000
11,80,0.645161,0.008065,0.000000,+0.000000,80,0.995000
12,80,0.655738,0.008197,0.000000,+0.000000,80,0.995000
13,80,0.629769,0.007872,0.000000,+0.000000,80,0.995000
14,80,0.619131,0.007739,0.000000,+0.000000,80,0.995000
15,80,0.629846,0.007873,0.000000,+0.000000,80,0.995000
16,80,0.620155,0.007752,0.000000,+0.000000,80,0.995000
17,80,0.615009,0.007688,0.000000,+0.000000,80,0.995000
18,80,0.578704,0.007234,0.000000,+0.000000,80,0.995000
19,80,0.581117,0.007264,0.000000,+0.000000,80,0.995000
20,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
21,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
22,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
23,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
24,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
25,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
26,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
27,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
28,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
29,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
30,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
31,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
32,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
33,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
34,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
35,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
36,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
37,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
38,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
39,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
40,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
41,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
42,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
43,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
44,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
45,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
46,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
47,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
48,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
49,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
50,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
51,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
52,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
53,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
54,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
55,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
56,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
57,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
58,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
59,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
60,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
61,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
62,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
63,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
64,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
65,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
66,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
67,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
68,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
69,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
70,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
71,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
72,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
73,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
74,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
75,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
76,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
77,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
78,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
79,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
80,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
81,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
82,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
83,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
84,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
85,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
86,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
87,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
88,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
89,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
90,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
91,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
92,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
93,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
94,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
95,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
96,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
97,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
98,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
99,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
100,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
101,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
102,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
103,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
104,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
105,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
106,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
107,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
108,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
109,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
110,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
111,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
112,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
113,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
114,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
115,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
116,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
117,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
118,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
119,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
120,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
121,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
122,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
123,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
124,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
125,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
126,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
127,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
128,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
129,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
130,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
131,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
132,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
133,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
134,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
135,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
136,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
137,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
138,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
139,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
140,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
141,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
142,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
143,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
144,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
145,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
146,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
147,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
148,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
149,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
150,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
151,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
152,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
153,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
154,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
155,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
156,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
157,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
158,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
159,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
160,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
161,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
162,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
163,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
164,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
165,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
166,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
167,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
168,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
169,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
170,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
171,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
172,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
173,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
174,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
175,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
176,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
177,80,0.000000,0.000000,0.000000,+0.000000,0,0.995000
