round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.514000,1.991675,0.000000
20,0.527200,1.661844,0.000000
30,0.540000,1.456198,0.000000
40,0.547000,1.314281,0.000000
50,0.553700,1.207690,0.000000
60,0.566900,1.119586,0.000000
70,0.591500,1.046947,0.000000
80,0.620200,0.983141,0.000000
90,0.651700,0.929450,0.000000
100,0.676800,0.884322,0.000000
110,0.698900,0.844383,0.000000
120,0.717000,0.811323,0.000000
130,0.735600,0.781091,0.000000
140,0.751500,0.754471,0.000000
150,0.766400,0.727623,0.000000
160,0.777500,0.705319,0.000000
170,0.788000,0.684483,0.000000
180,0.796000,0.664314,0.000000
190,0.805200,0.647375,0.000000
200,0.812400,0.630267,0.000000
