round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.646500,1.715260,0.000000
20,0.688300,1.209889,0.000000
30,0.725400,0.946360,0.000000
40,0.778300,0.779601,0.000000
50,0.809700,0.674425,0.000000
60,0.827600,0.602514,0.000000
70,0.842000,0.552637,0.000000
80,0.852400,0.514219,0.000000
90,0.859000,0.484514,0.000000
100,0.866100,0.461971,0.000000
110,0.870400,0.442562,0.000000
120,0.874600,0.426540,0.000000
130,0.878300,0.414173,0.000000
140,0.881700,0.403277,0.000000
150,0.884400,0.392617,0.000000
160,0.886800,0.383467,0.000000
170,0.888700,0.376299,0.000000
180,0.890200,0.368690,0.000000
190,0.891400,0.363088,0.000000
200,0.893000,0.356598,0.000000
