round,cohort_size,sum_w_cohort,avg_w_cohort,avg_norm_cached_g,avg_cos_cached_vs_honest_mean,n_in_S_t,decay_factor_this_round
0,20,0.105263,0.005263,45.045540,+0.114251,20,0.995000
1,20,0.105263,0.005263,46.140500,+0.113588,20,0.995000
2,20,0.105263,0.005263,43.346576,+0.058948,20,0.995000
3,20,0.105263,0.005263,39.176933,-0.042612,20,0.995000
4,20,0.105263,0.005263,35.534737,-0.131793,20,0.995000
5,20,0.105263,0.005263,32.638395,-0.180534,20,0.995000
6,20,0.105263,0.005263,31.046647,-0.202485,20,0.995000
7,20,0.105263,0.005263,29.891261,-0.178736,20,0.995000
8,20,0.105263,0.005263,28.658429,-0.171548,20,0.995000
9,20,0.105263,0.005263,27.533814,-0.170016,20,0.995000
10,20,0.105263,0.005263,26.349690,-0.177352,20,0.995000
11,20,0.105263,0.005263,25.411372,-0.141290,20,0.995000
12,20,0.105263,0.005263,24.474915,-0.157380,20,0.995000
13,20,0.105263,0.005263,23.607295,-0.195789,20,0.995000
14,20,0.105263,0.005263,22.796030,-0.140683,20,0.995000
15,20,0.105263,0.005263,22.271986,-0.185337,20,0.995000
16,20,0.105263,0.005263,21.479979,-0.140161,20,0.995000
17,20,0.105263,0.005263,20.898096,-0.159985,20,0.995000
18,20,0.105263,0.005263,20.868453,-0.198030,20,0.995000
19,20,0.105263,0.005263,17.836208,+0.039109,20,0.995000
20,20,0.105263,0.005263,17.747027,+0.047805,0,0.995000
21,20,0.105263,0.005263,17.658292,+0.036187,0,0.995000
22,20,0.105263,0.005263,17.570000,+0.031967,0,0.995000
23,20,0.105263,0.005263,17.482150,+0.029117,0,0.995000
24,20,0.105263,0.005263,17.394739,+0.040177,0,0.995000
25,20,0.105263,0.005263,17.307766,+0.009065,0,0.995000
26,20,0.105263,0.005263,17.221227,+0.019903,0,0.995000
27,20,0.105263,0.005263,17.135121,+0.013578,0,0.995000
28,20,0.105263,0.005263,17.049445,+0.022249,0,0.995000
29,20,0.105263,0.005263,16.964198,+0.008297,0,0.995000
30,20,0.105263,0.005263,16.879377,+0.012113,0,0.995000
31,20,0.105263,0.005263,16.794980,+0.015365,0,0.995000
32,20,0.105263,0.005263,16.711005,-0.009573,0,0.995000
33,20,0.105263,0.005263,16.627450,-0.009846,0,0.995000
34,20,0.105263,0.005263,16.544313,-0.008582,0,0.995000
35,20,0.105263,0.005263,16.461591,-0.014485,0,0.995000
36,20,0.105263,0.005263,16.379283,-0.017876,0,0.995000
37,20,0.105263,0.005263,16.297387,-0.018248,0,0.995000
38,20,0.105263,0.005263,16.215900,-0.031139,0,0.995000
39,20,0.105263,0.005263,16.134820,-0.015072,0,0.995000
40,20,0.105263,0.005263,16.054146,-0.030757,0,0.995000
41,20,0.105263,0.005263,15.973876,-0.010021,0,0.995000
42,20,0.105263,0.005263,15.894006,-0.023439,0,0.995000
43,20,0.105263,0.005263,15.814536,-0.024098,0,0.995000
44,20,0.105263,0.005263,15.735463,-0.037282,0,0.995000
45,20,0.105263,0.005263,15.656786,-0.042015,0,0.995000
46,20,0.105263,0.005263,15.578502,-0.043017,0,0.995000
47,20,0.105263,0.005263,15.500610,-0.036605,0,0.995000
48,20,0.105263,0.005263,15.423107,-0.053757,0,0.995000
49,20,0.105263,0.005263,15.345991,-0.056383,0,0.995000
50,20,0.105263,0.005263,15.269261,-0.043204,0,0.995000
51,20,0.105263,0.005263,15.192915,-0.052416,0,0.995000
52,20,0.105263,0.005263,15.116950,-0.053413,0,0.995000
53,20,0.105263,0.005263,15.041366,-0.058019,0,0.995000
54,20,0.105263,0.005263,14.966159,-0.073410,0,0.995000
55,20,0.105263,0.005263,14.891328,-0.053986,0,0.995000
56,20,0.105263,0.005263,14.816871,-0.065602,0,0.995000
57,20,0.105263,0.005263,14.742787,-0.058381,0,0.995000
58,20,0.105263,0.005263,14.669073,-0.075766,0,0.995000
59,20,0.105263,0.005263,14.595728,-0.079003,0,0.995000
60,20,0.105263,0.005263,14.522749,-0.077449,0,0.995000
61,20,0.105263,0.005263,14.450135,-0.064732,0,0.995000
62,20,0.105263,0.005263,14.377885,-0.076091,0,0.995000
63,20,0.105263,0.005263,14.305995,-0.082570,0,0.995000
64,20,0.105263,0.005263,14.234465,-0.084294,0,0.995000
65,20,0.105263,0.005263,14.163293,-0.078042,0,0.995000
66,20,0.105263,0.005263,14.092476,-0.085357,0,0.995000
67,20,0.105263,0.005263,14.022014,-0.078717,0,0.995000
68,20,0.105263,0.005263,13.951904,-0.092881,0,0.995000
69,20,0.105263,0.005263,13.882144,-0.086844,0,0.995000
70,20,0.105263,0.005263,13.812734,-0.076640,0,0.995000
71,20,0.105263,0.005263,13.743670,-0.103594,0,0.995000
72,20,0.105263,0.005263,13.674952,-0.103113,0,0.995000
73,20,0.105263,0.005263,13.606577,-0.099106,0,0.995000
74,20,0.105263,0.005263,13.538544,-0.095927,0,0.995000
75,20,0.105263,0.005263,13.470851,-0.080192,0,0.995000
76,20,0.105263,0.005263,13.403497,-0.085327,0,0.995000
77,20,0.105263,0.005263,13.336480,-0.119740,0,0.995000
78,20,0.105263,0.005263,13.269797,-0.109324,0,0.995000
79,20,0.105263,0.005263,13.203448,-0.100746,0,0.995000
80,20,0.105263,0.005263,13.137431,-0.096276,0,0.995000
81,20,0.105263,0.005263,13.071744,-0.103069,0,0.995000
82,20,0.105263,0.005263,13.006385,-0.109745,0,0.995000
