round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.647800,1.720871,0.000000
20,0.710400,1.206041,0.000000
30,0.767300,0.902526,0.000000
40,0.812800,0.731788,0.000000
50,0.835700,0.629311,0.000000
60,0.851900,0.562140,0.000000
70,0.861100,0.513988,0.000000
80,0.869300,0.478424,0.000000
90,0.874600,0.450879,0.000000
100,0.881400,0.428772,0.000000
110,0.886000,0.411271,0.000000
120,0.889800,0.396357,0.000000
130,0.892700,0.383774,0.000000
140,0.894600,0.373290,0.000000
150,0.897400,0.363793,0.000000
160,0.899500,0.355434,0.000000
170,0.901200,0.347987,0.000000
180,0.903300,0.341667,0.000000
190,0.905100,0.335633,0.000000
200,0.905500,0.330031,0.000000
