round,w_dormant,norm_cached_g,cos_cached_vs_honest_mean,in_S_t,decay_factor_this_round
0,0.005263,43.632823,+0.412617,1,0.995000
1,0.005263,44.945569,+0.244346,1,0.995000
2,0.005263,44.219158,+0.389787,1,0.995000
3,0.005263,40.574025,+0.180223,1,0.995000
4,0.005263,37.273676,+0.110708,1,0.995000
5,0.005263,32.146184,+0.230152,1,0.995000
6,0.005263,31.337053,+0.179840,1,0.995000
7,0.005263,29.291491,+0.172821,1,0.995000
8,0.005263,26.466449,+0.177971,1,0.995000
9,0.005263,26.221613,+0.196955,1,0.995000
10,0.005263,24.322969,+0.258937,1,0.995000
11,0.005263,23.685307,+0.208088,1,0.995000
12,0.005263,23.538327,+0.422192,1,0.995000
13,0.005263,22.187168,+0.209731,1,0.995000
14,0.005263,21.714911,+0.293319,1,0.995000
15,0.005263,21.834259,+0.327298,1,0.995000
16,0.005263,21.142746,+0.294942,1,0.995000
17,0.005263,20.571681,+0.264466,1,0.995000
18,0.005263,19.937049,+0.270404,1,0.995000
19,0.005263,18.038304,+0.041945,1,0.995000
20,0.005263,17.948113,+0.051008,0,0.995000
21,0.005263,17.858372,+0.047466,0,0.995000
22,0.005263,17.769080,+0.037938,0,0.995000
23,0.005263,17.680235,+0.043217,0,0.995000
24,0.005263,17.591834,+0.052059,0,0.995000
25,0.005263,17.503875,+0.030898,0,0.995000
26,0.005263,17.416355,+0.043448,0,0.995000
27,0.005263,17.329273,+0.037922,0,0.995000
28,0.005263,17.242627,+0.048557,0,0.995000
29,0.005263,17.156414,+0.046884,0,0.995000
30,0.005263,17.070632,+0.043528,0,0.995000
31,0.005263,16.985279,+0.053152,0,0.995000
32,0.005263,16.900352,+0.033362,0,0.995000
33,0.005263,16.815850,+0.025989,0,0.995000
34,0.005263,16.731771,+0.043209,0,0.995000
35,0.005263,16.648112,+0.034484,0,0.995000
36,0.005263,16.564872,+0.032292,0,0.995000
37,0.005263,16.482047,+0.030683,0,0.995000
38,0.005263,16.399637,+0.028799,0,0.995000
39,0.005263,16.317639,+0.040703,0,0.995000
40,0.005263,16.236051,+0.023893,0,0.995000
41,0.005263,16.154871,+0.047424,0,0.995000
42,0.005263,16.074096,+0.035909,0,0.995000
43,0.005263,15.993726,+0.042134,0,0.995000
44,0.005263,15.913757,+0.033099,0,0.995000
45,0.005263,15.834188,+0.029655,0,0.995000
46,0.005263,15.755017,+0.020415,0,0.995000
47,0.005263,15.676242,+0.039293,0,0.995000
48,0.005263,15.597861,+0.016860,0,0.995000
49,0.005263,15.519872,+0.023870,0,0.995000
50,0.005263,15.442272,+0.045104,0,0.995000
51,0.005263,15.365061,+0.015706,0,0.995000
52,0.005263,15.288236,+0.030691,0,0.995000
53,0.005263,15.211795,+0.032620,0,0.995000
54,0.005263,15.135736,+0.030253,0,0.995000
55,0.005263,15.060057,+0.035389,0,0.995000
56,0.005263,14.984757,+0.027182,0,0.995000
57,0.005263,14.909833,+0.012221,0,0.995000
58,0.005263,14.835284,+0.013637,0,0.995000
59,0.005263,14.761107,+0.016890,0,0.995000
60,0.005263,14.687302,+0.017844,0,0.995000
61,0.005263,14.613865,+0.028005,0,0.995000
62,0.005263,14.540796,+0.018442,0,0.995000
63,0.005263,14.468092,+0.036400,0,0.995000
64,0.005263,14.395751,+0.011580,0,0.995000
65,0.005263,14.323773,+0.039756,0,0.995000
66,0.005263,14.252154,+0.019579,0,0.995000
67,0.005263,14.180893,+0.010892,0,0.995000
68,0.005263,14.109989,+0.020330,0,0.995000
69,0.005263,14.039439,+0.014893,0,0.995000
70,0.005263,13.969241,+0.023411,0,0.995000
71,0.005263,13.899395,+0.012727,0,0.995000
72,0.005263,13.829898,+0.019948,0,0.995000
73,0.005263,13.760749,+0.029985,0,0.995000
74,0.005263,13.691945,+0.035334,0,0.995000
75,0.005263,13.623485,+0.029555,0,0.995000
76,0.005263,13.555368,+0.026957,0,0.995000
77,0.005263,13.487591,+0.005288,0,0.995000
78,0.005263,13.420153,+0.017380,0,0.995000
79,0.005263,13.353052,+0.017187,0,0.995000
80,0.005263,13.286287,+0.004991,0,0.995000
81,0.005263,13.219856,-0.001086,0,0.995000
82,0.005263,13.153756,+0.004004,0,0.995000
83,0.005263,13.087988,+0.015263,0,0.995000
84,0.005263,13.022548,+0.017939,0,0.995000
85,0.005263,12.957435,-0.011200,0,0.995000
86,0.005263,12.892648,+0.004838,0,0.995000
87,0.005263,12.828184,+0.008070,0,0.995000
88,0.005263,12.764044,+0.023518,0,0.995000
89,0.005263,12.700223,-0.001805,0,0.995000
90,0.005263,12.636722,+0.001221,0,0.995000
91,0.005263,12.573539,-0.001984,0,0.995000
92,0.005263,12.510671,+0.014614,0,0.995000
93,0.005263,12.448118,+0.018046,0,0.995000
94,0.005263,12.385877,+0.011916,0,0.995000
95,0.005263,12.323948,-0.006961,0,0.995000
96,0.005263,12.262328,+0.008696,0,0.995000
97,0.005263,12.201016,+0.019902,0,0.995000
98,0.005263,12.140011,+0.004055,0,0.995000
99,0.005263,12.079311,+0.000071,0,0.995000
100,0.005263,12.018915,-0.000557,0,0.995000
101,0.005263,11.958820,+0.015054,0,0.995000
102,0.005263,11.899026,+0.002399,0,0.995000
103,0.005263,11.839531,-0.020423,0,0.995000
104,0.005263,11.780333,+0.005058,0,0.995000
105,0.005263,11.721431,-0.019384,0,0.995000
106,0.005263,11.662824,-0.001764,0,0.995000
107,0.005263,11.604510,+0.004366,0,0.995000
108,0.005263,11.546488,+0.000221,0,0.995000
109,0.005263,11.488755,+0.027665,0,0.995000
110,0.005263,11.431311,-0.002722,0,0.995000
111,0.005263,11.374155,-0.003483,0,0.995000
112,0.005263,11.317284,-0.010890,0,0.995000
113,0.005263,11.260698,-0.014154,0,0.995000
114,0.005263,11.204394,+0.006649,0,0.995000
115,0.005263,11.148372,+0.017658,0,0.995000
116,0.005263,11.092630,-0.007170,0,0.995000
117,0.005263,11.037167,-0.018282,0,0.995000
118,0.005263,10.981981,+0.004931,0,0.995000
119,0.005263,10.927071,-0.009806,0,0.995000
120,0.005263,10.872436,-0.020456,0,0.995000
121,0.005263,10.818074,-0.028194,0,0.995000
122,0.005263,10.763984,-0.018488,0,0.995000
123,0.005263,10.710164,+0.002069,0,0.995000
124,0.005263,10.656613,-0.029321,0,0.995000
125,0.005263,10.603330,+0.016585,0,0.995000
126,0.005263,10.550313,+0.017804,0,0.995000
127,0.005263,10.497561,-0.023545,0,0.995000
128,0.005263,10.445074,+0.000383,0,0.995000
129,0.005263,10.392848,-0.023058,0,0.995000
130,0.005263,10.340884,-0.002383,0,0.995000
131,0.005263,10.289180,-0.000787,0,0.995000
132,0.005263,10.237734,+0.005464,0,0.995000
133,0.005263,10.186545,-0.003797,0,0.995000
134,0.005263,10.135612,+0.008836,0,0.995000
135,0.005263,10.084934,-0.011903,0,0.995000
136,0.005263,10.034510,+0.005063,0,0.995000
137,0.005263,9.984337,-0.009943,0,0.995000
138,0.005263,9.934415,+0.006114,0,0.995000
139,0.005263,9.884743,-0.006142,0,0.995000
140,0.005263,9.835320,-0.016651,0,0.995000
141,0.005263,9.786143,-0.018320,0,0.995000
142,0.005263,9.737212,-0.023232,0,0.995000
143,0.005263,9.688526,-0.023345,0,0.995000
144,0.005263,9.640084,+0.000790,0,0.995000
145,0.005263,9.591883,+0.003845,0,0.995000
146,0.005263,9.543924,-0.013435,0,0.995000
147,0.005263,9.496204,+0.006523,0,0.995000
148,0.005263,9.448723,-0.003037,0,0.995000
149,0.005263,9.401480,+0.008847,0,0.995000
150,0.005263,9.354472,-0.019131,0,0.995000
151,0.005263,9.307700,+0.005395,0,0.995000
152,0.005263,9.261161,+0.008649,0,0.995000
153,0.005263,9.214855,-0.016818,0,0.995000
154,0.005263,9.168781,+0.004806,0,0.995000
155,0.005263,9.122937,+0.013680,0,0.995000
156,0.005263,9.077323,-0.006770,0,0.995000
157,0.005263,9.031936,-0.009429,0,0.995000
158,0.005263,8.986776,+0.008533,0,0.995000
159,0.005263,8.941842,-0.027474,0,0.995000
160,0.005263,8.897133,-0.020326,0,0.995000
161,0.005263,8.852648,-0.013010,0,0.995000
162,0.005263,8.808384,-0.028917,0,0.995000
163,0.005263,8.764342,+0.017749,0,0.995000
164,0.005263,8.720521,-0.047021,0,0.995000
165,0.005263,8.676918,-0.012387,0,0.995000
166,0.005263,8.633533,-0.011790,0,0.995000
167,0.005263,8.590366,-0.026856,0,0.995000
168,0.005263,8.547414,-0.006742,0,0.995000
169,0.005263,8.504677,+0.007173,0,0.995000
170,0.005263,8.462154,-0.003445,0,0.995000
171,0.005263,8.419843,-0.015167,0,0.995000
172,0.005263,8.377744,-0.002347,0,0.995000
173,0.005263,8.335855,+0.008360,0,0.995000
174,0.005263,8.294176,-0.021580,0,0.995000
175,0.005263,8.252705,-0.023751,0,0.995000
176,0.005263,8.211441,-0.009023,0,0.995000
177,0.005263,8.170384,-0.004375,0,0.995000
178,0.005263,8.129532,+0.016395,0,0.995000
179,0.005263,8.088884,+0.017043,0,0.995000
180,0.005263,8.048440,+0.010581,0,0.995000
181,0.005263,8.008198,+0.014461,0,0.995000
182,0.005263,7.968157,+0.028969,0,0.995000
183,0.005263,7.928316,-0.026722,0,0.995000
184,0.005263,7.888674,-0.021512,0,0.995000
185,0.005263,7.849231,-0.016885,0,0.995000
186,0.005263,7.809985,-0.024622,0,0.995000
187,0.005263,7.770935,-0.007436,0,0.995000
188,0.005263,7.732080,-0.023184,0,0.995000
189,0.005263,7.693420,+0.010960,0,0.995000
190,0.005263,7.654953,+0.004508,0,0.995000
191,0.005263,7.616678,-0.009524,0,0.995000
192,0.005263,7.578595,-0.009435,0,0.995000
193,0.005263,7.540702,+0.017197,0,0.995000
194,0.005263,7.502998,+0.002729,0,0.995000
195,0.005263,7.465483,-0.000654,0,0.995000
196,0.005263,7.428156,+0.008010,0,0.995000
197,0.005263,7.391015,-0.005303,0,0.995000
198,0.005263,7.354060,-0.013040,0,0.995000
199,0.005263,7.317290,+0.006181,0,0.995000
