round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.537800,1.704602,0.000000
20,0.712800,1.181254,0.000000
30,0.767400,0.887792,0.000000
40,0.806000,0.719602,0.000000
50,0.841800,0.619357,0.000000
60,0.852500,0.554042,0.000000
70,0.857100,0.512379,0.000000
80,0.864500,0.480766,0.000000
90,0.875600,0.448061,0.000000
100,0.879600,0.428386,0.000000
110,0.881300,0.413757,0.000000
120,0.886900,0.398277,0.000000
130,0.885200,0.392374,0.000000
140,0.888000,0.379757,0.000000
150,0.893100,0.370747,0.000000
160,0.894200,0.361764,0.000000
170,0.895300,0.352783,0.000000
180,0.896500,0.347995,0.000000
190,0.899000,0.341804,0.000000
200,0.900300,0.337603,0.000000
