round,test_acc,test_loss
0,0.082400,2.309957
10,0.239900,2.162115
20,0.512400,1.905516
30,0.606300,1.622951
40,0.658500,1.362591
50,0.712800,1.153228
60,0.761200,0.990043
70,0.785400,0.866802
80,0.797100,0.779981
90,0.815200,0.711646
100,0.826000,0.659786
110,0.836100,0.616459
120,0.841600,0.584780
130,0.849400,0.552847
140,0.855200,0.529636
150,0.860900,0.506923
160,0.866300,0.488181
170,0.867700,0.473908
180,0.873800,0.458183
190,0.877100,0.443964
200,0.879400,0.432928
