round,cohort_size,sum_w_cohort,avg_w_cohort,avg_norm_cached_g,avg_cos_cached_vs_honest_mean,n_in_S_t,decay_factor_this_round
97,80,0.368421,0.004605,10.446663,-0.530721,80,0.995000
98,80,0.368421,0.004605,10.408403,-0.520401,80,0.995000
99,80,0.368421,0.004605,10.384993,-0.536407,80,0.995000
100,80,0.368421,0.004605,10.337381,-0.542547,80,0.995000
101,80,0.368421,0.004605,10.251430,-0.547266,80,0.995000
102,80,0.368421,0.004605,10.329131,-0.522162,80,0.995000
103,80,0.368421,0.004605,10.274065,-0.540936,80,0.995000
104,80,0.368421,0.004605,10.226362,-0.546796,80,0.995000
105,80,0.368421,0.004605,10.240251,-0.532832,80,0.995000
106,80,0.368421,0.004605,10.194061,-0.523904,80,0.995000
107,80,0.368421,0.004605,10.198697,-0.528827,80,0.995000
108,80,0.368421,0.004605,10.210119,-0.540196,80,0.995000
109,80,0.368421,0.004605,10.159531,-0.547398,80,0.995000
110,80,0.368421,0.004605,10.153901,-0.557491,80,0.995000
111,80,0.368421,0.004605,10.096290,-0.547291,80,0.995000
112,80,0.368421,0.004605,10.062224,-0.553945,80,0.995000
113,80,0.368421,0.004605,10.056708,-0.568560,80,0.995000
114,80,0.368421,0.004605,10.070666,-0.556939,80,0.995000
115,80,0.368421,0.004605,10.006771,-0.569471,80,0.995000
116,80,0.368421,0.004605,10.002891,-0.554741,80,0.995000
117,80,0.368421,0.004605,10.018969,-0.557385,80,0.995000
118,80,0.368421,0.004605,9.943977,-0.546407,80,0.995000
119,80,0.368421,0.004605,9.912306,-0.569708,80,0.995000
120,80,0.368421,0.004605,9.910518,-0.499049,80,0.995000
121,80,0.368421,0.004605,9.968176,-0.550785,80,0.995000
122,80,0.368421,0.004605,9.924311,-0.555514,80,0.995000
123,80,0.368421,0.004605,9.896011,-0.568726,80,0.995000
124,80,0.368421,0.004605,9.797504,-0.569239,80,0.995000
125,80,0.368421,0.004605,9.807063,-0.562095,80,0.995000
126,80,0.368421,0.004605,9.840670,-0.574239,80,0.995000
127,80,0.368421,0.004605,9.826086,-0.542544,80,0.995000
128,80,0.368421,0.004605,9.837216,-0.539445,80,0.995000
129,80,0.368421,0.004605,9.756257,-0.557122,80,0.995000
130,80,0.368421,0.004605,9.789283,-0.570691,80,0.995000
131,80,0.368421,0.004605,9.778691,-0.568306,80,0.995000
132,80,0.368421,0.004605,9.749895,-0.585180,80,0.995000
133,80,0.368421,0.004605,9.718365,-0.568322,80,0.995000
134,80,0.368421,0.004605,9.749859,-0.548074,80,0.995000
135,80,0.368421,0.004605,9.770454,-0.585610,80,0.995000
136,80,0.368421,0.004605,9.736970,-0.588423,80,0.995000
137,80,0.368421,0.004605,9.715951,-0.502216,80,0.995000
138,80,0.368421,0.004605,9.710095,-0.588076,80,0.995000
139,80,0.368421,0.004605,9.671329,-0.589122,80,0.995000
140,80,0.368421,0.004605,9.631925,-0.579392,80,0.995000
141,80,0.368421,0.004605,9.700803,-0.589011,80,0.995000
142,80,0.368421,0.004605,9.646163,-0.558192,80,0.995000
143,80,0.368421,0.004605,9.588783,-0.558859,80,0.995000
144,80,0.368421,0.004605,9.572052,-0.593896,80,0.995000
145,80,0.368421,0.004605,9.605683,-0.585399,80,0.995000
146,80,0.368421,0.004605,9.588574,-0.565625,80,0.995000
147,80,0.368421,0.004605,9.590661,-0.562770,80,0.995000
148,80,0.368421,0.004605,9.544544,-0.602715,80,0.995000
149,80,0.368421,0.004605,9.566794,-0.594069,80,0.995000
150,80,0.368421,0.004605,9.527359,-0.597969,80,0.995000
151,80,0.368421,0.004605,9.504413,-0.594488,80,0.995000
152,80,0.368421,0.004605,9.509520,-0.572074,80,0.995000
153,80,0.368421,0.004605,9.517914,-0.600794,80,0.995000
154,80,0.368421,0.004605,9.569422,-0.599240,80,0.995000
155,80,0.368421,0.004605,9.457079,-0.599411,80,0.995000
156,80,0.368421,0.004605,9.509830,-0.568401,80,0.995000
157,80,0.368421,0.004605,9.482850,-0.589691,80,0.995000
158,80,0.368421,0.004605,9.454716,-0.606896,80,0.995000
159,80,0.368421,0.004605,9.396020,-0.553460,80,0.995000
160,80,0.368421,0.004605,9.406977,-0.597615,80,0.995000
161,80,0.368421,0.004605,9.440876,-0.605206,80,0.995000
162,80,0.368421,0.004605,9.441466,-0.581397,80,0.995000
163,80,0.368421,0.004605,9.362878,-0.588711,80,0.995000
164,80,0.368421,0.004605,9.358452,-0.611599,80,0.995000
165,80,0.368421,0.004605,9.381145,-0.600485,80,0.995000
166,80,0.368421,0.004605,9.356009,-0.593785,80,0.995000
167,80,0.368421,0.004605,9.385182,-0.591808,80,0.995000
168,80,0.368421,0.004605,9.382163,-0.608710,80,0.995000
169,80,0.368421,0.004605,9.300900,-0.614169,80,0.995000
170,80,0.368421,0.004605,9.314276,-0.597487,80,0.995000
171,80,0.368421,0.004605,9.369657,-0.609181,80,0.995000
172,80,0.368421,0.004605,9.338406,-0.553945,80,0.995000
173,80,0.368421,0.004605,9.279264,-0.609883,80,0.995000
174,80,0.368421,0.004605,9.297185,-0.579637,80,0.995000
175,80,0.368421,0.004605,9.293633,-0.578575,80,0.995000
176,80,0.368421,0.004605,9.264989,-0.612504,80,0.995000
177,80,0.368421,0.004605,9.253701,-0.610627,80,0.995000
178,80,0.368421,0.004605,9.279452,-0.606181,80,0.995000
179,80,0.368421,0.004605,9.197520,-0.621708,80,0.995000
180,80,0.368421,0.004605,9.229914,-0.580798,80,0.995000
181,80,0.368421,0.004605,9.168394,-0.597485,80,0.995000
182,80,0.368421,0.004605,9.249343,-0.619059,80,0.995000
183,80,0.368421,0.004605,9.228569,-0.552429,80,0.995000
184,80,0.368421,0.004605,9.158628,-0.616508,80,0.995000
185,80,0.368421,0.004605,9.247313,-0.596105,80,0.995000
186,80,0.368421,0.004605,9.174317,-0.627106,80,0.995000
187,80,0.368421,0.004605,9.130405,-0.599914,80,0.995000
188,80,0.368421,0.004605,9.215637,-0.607096,80,0.995000
189,80,0.368421,0.004605,9.122646,-0.611199,80,0.995000
190,80,0.368421,0.004605,9.119239,-0.625691,80,0.995000
191,80,0.368421,0.004605,9.168085,-0.573036,80,0.995000
192,80,0.368421,0.004605,9.143537,-0.581439,80,0.995000
193,80,0.368421,0.004605,9.159107,-0.631338,80,0.995000
194,80,0.368421,0.004605,9.039436,-0.622239,80,0.995000
195,80,0.368421,0.004605,9.092917,-0.602821,80,0.995000
196,80,0.368421,0.004605,9.102262,-0.627701,80,0.995000
197,80,0.368421,0.004605,9.082364,-0.601617,80,0.995000
198,80,0.368421,0.004605,9.073562,-0.630089,80,0.995000
199,80,0.368421,0.004605,9.076919,-0.605808,80,0.995000
