round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.474500,1.958223,0.000000
20,0.482800,1.675360,0.000000
30,0.494600,1.489677,0.000000
40,0.505400,1.364201,0.000000
50,0.517100,1.266125,0.000000
60,0.541900,1.185067,0.000000
70,0.571000,1.116574,0.000000
80,0.602200,1.058079,0.000000
90,0.628900,1.008074,0.000000
100,0.654400,0.964824,0.000000
110,0.673300,0.926738,0.000000
120,0.691700,0.894556,0.000000
130,0.709800,0.863700,0.000000
140,0.727200,0.834791,0.000000
150,0.741400,0.808087,0.000000
160,0.754200,0.784940,0.000000
170,0.764400,0.763707,0.000000
180,0.774900,0.742599,0.000000
190,0.784200,0.723566,0.000000
200,0.792700,0.705014,0.000000
