round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.652600,1.711642,0.000000
20,0.644800,1.226762,0.000000
30,0.562900,1.188685,0.000000
40,0.594200,1.102526,0.000000
50,0.616000,1.041919,0.000000
60,0.637500,0.986644,0.000000
70,0.652900,0.940922,0.000000
80,0.669600,0.897455,0.000000
90,0.685100,0.857216,0.000000
100,0.700000,0.821929,0.000000
110,0.713900,0.788917,0.000000
120,0.729100,0.758774,0.000000
130,0.744000,0.731157,0.000000
140,0.756000,0.707070,0.000000
150,0.770200,0.682011,0.000000
160,0.778600,0.662866,0.000000
170,0.787500,0.643952,0.000000
180,0.793900,0.627115,0.000000
190,0.799600,0.612617,0.000000
200,0.806000,0.598107,0.000000
