round,sum_w_cohort_proxy,avg_cos_cached_vs_hon_mean,n_in_S_t,decay_factor
0,0.400000,+0.108547,80,0.995000
1,0.400000,+0.115176,80,0.995000
2,0.400000,+0.126095,80,0.995000
3,0.400000,+0.118221,80,0.995000
4,0.400000,+0.094440,80,0.995000
5,0.400000,+0.056603,80,0.995000
6,0.400000,+0.004418,80,0.995000
7,0.400000,-0.043629,80,0.995000
8,0.400000,-0.079001,80,0.995000
9,0.400000,-0.111867,80,0.995000
10,0.400000,-0.116977,80,0.995000
11,0.400000,-0.125379,80,0.995000
12,0.400000,-0.146173,80,0.995000
13,0.400000,-0.142542,80,0.995000
14,0.400000,-0.172412,80,0.995000
15,0.400000,-0.168866,80,0.995000
16,0.400000,-0.186061,80,0.995000
17,0.400000,-0.176546,80,0.995000
18,0.400000,-0.174929,80,0.995000
19,0.400000,-0.065066,80,0.995000
20,0.400000,-0.105526,0,0.995000
21,0.400000,-0.132244,0,0.995000
22,0.400000,-0.145558,0,0.995000
23,0.400000,-0.157498,0,0.995000
24,0.400000,-0.164456,0,0.995000
25,0.400000,-0.162680,0,0.995000
26,0.400000,-0.164328,0,0.995000
27,0.400000,-0.166639,0,0.995000
28,0.400000,-0.171931,0,0.995000
29,0.400000,-0.169191,0,0.995000
30,0.400000,-0.173221,0,0.995000
31,0.400000,-0.164888,0,0.995000
32,0.400000,-0.160583,0,0.995000
33,0.400000,-0.154413,0,0.995000
34,0.400000,-0.148420,0,0.995000
35,0.400000,-0.140165,0,0.995000
36,0.400000,-0.131807,0,0.995000
37,0.400000,-0.124883,0,0.995000
38,0.400000,-0.121162,0,0.995000
39,0.400000,-0.109291,0,0.995000
40,0.400000,-0.101123,0,0.995000
41,0.400000,-0.091260,0,0.995000
42,0.400000,-0.085776,0,0.995000
43,0.400000,-0.078434,0,0.995000
44,0.400000,-0.071250,0,0.995000
45,0.400000,-0.063165,0,0.995000
46,0.400000,-0.055059,0,0.995000
47,0.400000,-0.051327,0,0.995000
48,0.400000,-0.049386,0,0.995000
49,0.400000,-0.042847,0,0.995000
50,0.400000,-0.041119,0,0.995000
51,0.400000,-0.036934,0,0.995000
52,0.400000,-0.028128,0,0.995000
53,0.400000,-0.025861,0,0.995000
54,0.400000,-0.027010,0,0.995000
55,0.400000,-0.022143,0,0.995000
56,0.400000,-0.018321,0,0.995000
57,0.400000,-0.021594,0,0.995000
58,0.400000,-0.016425,0,0.995000
59,0.400000,-0.013673,0,0.995000
60,0.400000,-0.012461,0,0.995000
61,0.400000,-0.011118,0,0.995000
62,0.400000,-0.011223,0,0.995000
63,0.400000,-0.008622,0,0.995000
64,0.400000,-0.007509,0,0.995000
65,0.400000,-0.005468,0,0.995000
66,0.400000,-0.007646,0,0.995000
67,0.400000,-0.006765,0,0.995000
68,0.400000,-0.007570,0,0.995000
69,0.400000,-0.006448,0,0.995000
70,0.400000,-0.003408,0,0.995000
71,0.400000,-0.004993,0,0.995000
72,0.400000,-0.005071,0,0.995000
73,0.400000,-0.005356,0,0.995000
74,0.400000,-0.004006,0,0.995000
75,0.400000,-0.003263,0,0.995000
76,0.400000,-0.002242,0,0.995000
77,0.400000,-0.001235,0,0.995000
78,0.400000,-0.000485,0,0.995000
79,0.400000,+0.000125,0,0.995000
80,0.400000,+0.000640,0,0.995000
81,0.400000,+0.000538,0,0.995000
82,0.400000,+0.000214,0,0.995000
83,0.400000,+0.001284,0,0.995000
84,0.400000,+0.001898,0,0.995000
85,0.400000,+0.000920,0,0.995000
86,0.400000,+0.001087,0,0.995000
87,0.400000,+0.000675,0,0.995000
88,0.400000,+0.001473,0,0.995000
89,0.400000,+0.000815,0,0.995000
90,0.400000,+0.000637,0,0.995000
91,0.400000,+0.000688,0,0.995000
92,0.400000,+0.001056,0,0.995000
93,0.400000,+0.000749,0,0.995000
94,0.400000,-0.000596,0,0.995000
95,0.400000,-0.000091,0,0.995000
96,0.400000,-0.000093,0,0.995000
97,0.400000,-0.001080,0,0.995000
98,0.400000,-0.000101,0,0.995000
99,0.400000,-0.001090,0,0.995000
100,0.400000,-0.001356,0,0.995000
101,0.400000,-0.001205,0,0.995000
102,0.400000,-0.001579,0,0.995000
103,0.400000,-0.002039,0,0.995000
104,0.400000,-0.001719,0,0.995000
105,0.400000,-0.001968,0,0.995000
106,0.400000,-0.002620,0,0.995000
107,0.400000,-0.001901,0,0.995000
108,0.400000,-0.002288,0,0.995000
109,0.400000,-0.002561,0,0.995000
110,0.400000,-0.002622,0,0.995000
111,0.400000,-0.002612,0,0.995000
112,0.400000,-0.002859,0,0.995000
113,0.400000,-0.002517,0,0.995000
114,0.400000,-0.003504,0,0.995000
115,0.400000,-0.002871,0,0.995000
116,0.400000,-0.003041,0,0.995000
117,0.400000,-0.003111,0,0.995000
118,0.400000,-0.003726,0,0.995000
119,0.400000,-0.003509,0,0.995000
120,0.400000,-0.003242,0,0.995000
121,0.400000,-0.004114,0,0.995000
122,0.400000,-0.003911,0,0.995000
123,0.400000,-0.003812,0,0.995000
124,0.400000,-0.003826,0,0.995000
125,0.400000,-0.004316,0,0.995000
126,0.400000,-0.003579,0,0.995000
127,0.400000,-0.002826,0,0.995000
128,0.400000,-0.003917,0,0.995000
129,0.400000,-0.004119,0,0.995000
130,0.400000,-0.004709,0,0.995000
131,0.400000,-0.004462,0,0.995000
132,0.400000,-0.004573,0,0.995000
133,0.400000,-0.003764,0,0.995000
134,0.400000,-0.005196,0,0.995000
135,0.400000,-0.004069,0,0.995000
136,0.400000,-0.004431,0,0.995000
137,0.400000,-0.003901,0,0.995000
138,0.400000,-0.004632,0,0.995000
139,0.400000,-0.004766,0,0.995000
140,0.400000,-0.004520,0,0.995000
141,0.400000,-0.004446,0,0.995000
142,0.400000,-0.005321,0,0.995000
143,0.400000,-0.004836,0,0.995000
144,0.400000,-0.004869,0,0.995000
145,0.400000,-0.004646,0,0.995000
146,0.400000,-0.005141,0,0.995000
147,0.400000,-0.005042,0,0.995000
148,0.400000,-0.005039,0,0.995000
149,0.400000,-0.005046,0,0.995000
150,0.400000,-0.005572,0,0.995000
151,0.400000,-0.005527,0,0.995000
152,0.400000,-0.005122,0,0.995000
153,0.400000,-0.005081,0,0.995000
154,0.400000,-0.005436,0,0.995000
155,0.400000,-0.005425,0,0.995000
156,0.400000,-0.004569,0,0.995000
157,0.400000,-0.005735,0,0.995000
158,0.400000,-0.005554,0,0.995000
159,0.400000,-0.005357,0,0.995000
160,0.400000,-0.005234,0,0.995000
161,0.400000,-0.005757,0,0.995000
162,0.400000,-0.005469,0,0.995000
163,0.400000,-0.006207,0,0.995000
164,0.400000,-0.005837,0,0.995000
165,0.400000,-0.006463,0,0.995000
166,0.400000,-0.006101,0,0.995000
167,0.400000,-0.006251,0,0.995000
168,0.400000,-0.006022,0,0.995000
169,0.400000,-0.005877,0,0.995000
170,0.400000,-0.006079,0,0.995000
171,0.400000,-0.006047,0,0.995000
172,0.400000,-0.005798,0,0.995000
173,0.400000,-0.005849,0,0.995000
174,0.400000,-0.005820,0,0.995000
175,0.400000,-0.006239,0,0.995000
176,0.400000,-0.006265,0,0.995000
177,0.400000,-0.006444,0,0.995000
178,0.400000,-0.006338,0,0.995000
179,0.400000,-0.006688,0,0.995000
180,0.400000,-0.005632,0,0.995000
181,0.400000,-0.005667,0,0.995000
182,0.400000,-0.006398,0,0.995000
183,0.400000,-0.007118,0,0.995000
184,0.400000,-0.006590,0,0.995000
185,0.400000,-0.006071,0,0.995000
186,0.400000,-0.006680,0,0.995000
187,0.400000,-0.006342,0,0.995000
188,0.400000,-0.006053,0,0.995000
189,0.400000,-0.006549,0,0.995000
190,0.400000,-0.006440,0,0.995000
191,0.400000,-0.006062,0,0.995000
192,0.400000,-0.007341,0,0.995000
193,0.400000,-0.006718,0,0.995000
194,0.400000,-0.006608,0,0.995000
195,0.400000,-0.007001,0,0.995000
196,0.400000,-0.006704,0,0.995000
197,0.400000,-0.007076,0,0.995000
198,0.400000,-0.006973,0,0.995000
199,0.400000,-0.006857,0,0.995000
