round,test_acc,test_loss
0,0.068600,2.309219
10,0.186900,2.189167
20,0.484500,1.983517
30,0.548300,1.902295
40,0.555800,1.864846
50,0.547700,1.783971
60,0.537400,1.688131
70,0.549700,1.603840
80,0.563300,1.533658
90,0.572400,1.474631
100,0.580700,1.428479
110,0.582700,1.389619
120,0.585800,1.365825
130,0.580800,1.338856
140,0.580300,1.322977
150,0.579400,1.306927
160,0.582800,1.294333
170,0.583400,1.281510
180,0.586700,1.269972
190,0.589400,1.257955
200,0.596300,1.248290
