round,test_acc,test_loss,sum_byz
0,0.082400,2.309957,0.000000
10,0.465500,1.948633,0.000000
20,0.477300,1.655231,0.000000
30,0.484500,1.473689,0.000000
40,0.492200,1.353997,0.000000
50,0.500300,1.270202,0.000000
60,0.512400,1.203793,0.000000
70,0.528500,1.148858,0.000000
80,0.551100,1.096623,0.000000
90,0.580300,1.049510,0.000000
100,0.611300,1.006106,0.000000
110,0.641400,0.964970,0.000000
120,0.668300,0.926413,0.000000
130,0.692300,0.890570,0.000000
140,0.713200,0.859485,0.000000
150,0.731000,0.828954,0.000000
160,0.747000,0.801517,0.000000
170,0.760300,0.776558,0.000000
180,0.772300,0.753341,0.000000
190,0.783000,0.731468,0.000000
200,0.790900,0.712284,0.000000
