round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.646500,1.715260,0.000000
20,0.714100,1.199763,0.000000
30,0.771300,0.897422,0.000000
40,0.814100,0.728855,0.000000
50,0.829900,0.633351,0.000000
60,0.838200,0.581161,0.000000
70,0.849100,0.537606,0.000000
80,0.858300,0.502688,0.000000
90,0.866100,0.475034,0.000000
100,0.871400,0.453685,0.000000
110,0.875800,0.435159,0.000000
120,0.879000,0.419650,0.000000
130,0.882900,0.407750,0.000000
140,0.885000,0.397224,0.000000
150,0.888300,0.386957,0.000000
160,0.889900,0.378162,0.000000
170,0.890800,0.371090,0.000000
180,0.892500,0.363743,0.000000
190,0.893900,0.358278,0.000000
200,0.895900,0.351910,0.000000
