round,test_acc,test_loss,sum_byz
0,0.127100,2.303869,0.000000
10,0.680800,1.682081,0.000000
20,0.755100,1.141471,0.000000
30,0.804900,0.840429,0.000000
40,0.829000,0.677237,0.000000
50,0.845200,0.582528,0.000000
60,0.854900,0.523259,0.000000
70,0.861800,0.485611,0.000000
80,0.867300,0.459349,0.000000
90,0.870400,0.441582,0.000000
100,0.873800,0.430174,0.000000
110,0.876300,0.421643,0.000000
120,0.878300,0.417310,0.000000
130,0.880200,0.413584,0.000000
140,0.881500,0.411221,0.000000
150,0.882400,0.410011,0.000000
160,0.883500,0.409147,0.000000
170,0.883900,0.409131,0.000000
180,0.885400,0.408912,0.000000
190,0.886300,0.407989,0.000000
200,0.887700,0.407313,0.000000
