round,test_acc,test_loss,sum_byz
0,0.082400,2.309957,0.000000
10,0.633300,1.695296,0.000000
20,0.667300,1.229046,0.000000
30,0.541700,1.196602,0.000000
40,0.562100,1.112318,0.000000
50,0.574700,1.059149,0.000000
60,0.588000,1.017616,0.000000
70,0.606300,0.981937,0.000000
80,0.630600,0.945995,0.000000
90,0.647500,0.911616,0.000000
100,0.665100,0.875505,0.000000
110,0.684400,0.838025,0.000000
120,0.699900,0.808560,0.000000
130,0.718500,0.778488,0.000000
140,0.733600,0.750628,0.000000
150,0.745800,0.725852,0.000000
160,0.753700,0.705282,0.000000
170,0.761800,0.685211,0.000000
180,0.770400,0.667483,0.000000
190,0.778700,0.651215,0.000000
200,0.784300,0.635063,0.000000
