round,cohort_size,sum_w_cohort,avg_w_cohort,avg_norm_cached_g,avg_cos_cached_vs_honest_mean,n_in_S_t,decay_factor_this_round
85,80,0.421053,0.005263,11.998897,-0.211488,0,0.995000
86,80,0.421053,0.005263,11.938902,-0.276110,0,0.995000
87,80,0.421053,0.005263,11.879208,-0.253568,0,0.995000
88,80,0.421053,0.005263,11.819812,-0.256898,0,0.995000
89,80,0.421053,0.005263,11.760713,-0.245410,0,0.995000
90,80,0.421053,0.005263,11.701909,-0.222219,0,0.995000
91,80,0.421053,0.005263,11.643400,-0.232700,0,0.995000
92,80,0.421053,0.005263,11.585183,-0.204154,0,0.995000
93,80,0.421053,0.005263,11.527257,-0.209584,0,0.995000
94,80,0.421053,0.005263,11.469620,-0.251899,0,0.995000
95,80,0.421053,0.005263,11.412272,-0.227409,0,0.995000
96,80,0.421053,0.005263,11.355211,-0.215352,0,0.995000
97,80,0.421053,0.005263,11.298435,-0.261928,0,0.995000
98,80,0.421053,0.005263,11.241943,-0.207054,0,0.995000
99,80,0.421053,0.005263,11.185733,-0.224186,0,0.995000
100,80,0.421053,0.005263,11.129804,-0.238697,0,0.995000
101,80,0.421053,0.005263,11.074155,-0.236857,0,0.995000
102,80,0.421053,0.005263,11.018784,-0.222947,0,0.995000
103,80,0.421053,0.005263,10.963691,-0.244501,0,0.995000
104,80,0.421053,0.005263,10.908872,-0.221117,0,0.995000
105,80,0.421053,0.005263,10.854328,-0.222361,0,0.995000
106,80,0.421053,0.005263,10.800056,-0.232834,0,0.995000
107,80,0.421053,0.005263,10.746056,-0.198455,0,0.995000
108,80,0.421053,0.005263,10.692326,-0.241104,0,0.995000
109,80,0.421053,0.005263,10.638864,-0.234905,0,0.995000
110,80,0.421053,0.005263,10.585670,-0.240175,0,0.995000
111,80,0.421053,0.005263,10.532741,-0.215808,0,0.995000
112,80,0.421053,0.005263,10.480078,-0.248965,0,0.995000
113,80,0.421053,0.005263,10.427677,-0.228303,0,0.995000
114,80,0.421053,0.005263,10.375539,-0.235804,0,0.995000
115,80,0.421053,0.005263,10.323661,-0.227106,0,0.995000
116,80,0.421053,0.005263,10.272043,-0.226502,0,0.995000
117,80,0.421053,0.005263,10.220683,-0.221873,0,0.995000
118,80,0.421053,0.005263,10.169579,-0.244059,0,0.995000
119,80,0.421053,0.005263,10.118731,-0.234643,0,0.995000
