round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.652600,1.711642,0.000000
20,0.714600,1.193503,0.000000
30,0.768500,0.883922,0.000000
40,0.807800,0.708238,0.000000
50,0.828300,0.607026,0.000000
60,0.840600,0.545362,0.000000
70,0.848100,0.506398,0.000000
80,0.854000,0.481623,0.000000
90,0.856500,0.465917,0.000000
100,0.861800,0.455309,0.000000
110,0.863800,0.449904,0.000000
120,0.866400,0.446845,0.000000
130,0.869500,0.446035,0.000000
140,0.871800,0.447216,0.000000
150,0.873200,0.446806,0.000000
160,0.874100,0.448417,0.000000
170,0.875600,0.449983,0.000000
180,0.876600,0.451155,0.000000
190,0.877400,0.453309,0.000000
200,0.877900,0.452997,0.000000
