round,test_acc,test_loss,sum_byz
0,0.068600,2.309219,0.000000
10,0.634700,1.667925,0.000000
20,0.709400,1.168291,0.000000
30,0.783900,0.869707,0.000000
40,0.823500,0.703253,0.000000
50,0.853200,0.603920,0.000000
60,0.862600,0.540167,0.000000
70,0.866800,0.497391,0.000000
80,0.874000,0.464835,0.000000
90,0.883600,0.433757,0.000000
100,0.887300,0.413807,0.000000
110,0.890700,0.397269,0.000000
120,0.894200,0.382261,0.000000
130,0.895500,0.374026,0.000000
140,0.895900,0.362808,0.000000
150,0.899900,0.353626,0.000000
160,0.902700,0.343833,0.000000
170,0.903100,0.336515,0.000000
180,0.904200,0.331313,0.000000
190,0.906700,0.324996,0.000000
200,0.908100,0.319525,0.000000
