round,test_acc,test_loss,sum_byz
0,0.082400,2.309957,0.000000
10,0.739300,1.396004,0.000000
20,0.806700,0.785662,0.000000
30,0.827100,0.626673,0.000000
40,0.850200,0.535696,0.000000
50,0.864300,0.479506,0.000000
60,0.871500,0.443561,0.000000
70,0.878000,0.417557,0.000000
80,0.883600,0.399166,0.000000
90,0.886300,0.384584,0.000000
100,0.888900,0.373100,0.000000
110,0.891500,0.364340,0.000000
120,0.892100,0.355540,0.000000
130,0.893500,0.348086,0.000000
140,0.895900,0.341695,0.000000
150,0.896900,0.336645,0.000000
160,0.898200,0.331478,0.000000
170,0.900700,0.326854,0.000000
180,0.902400,0.322395,0.000000
190,0.903100,0.318557,0.000000
200,0.904700,0.314104,0.000000
