round,test_acc,test_loss,sum_byz
0,0.127100,2.303869,0.000000
10,0.739900,1.416880,0.000000
20,0.811900,0.763090,0.000000
30,0.837500,0.608009,0.000000
40,0.857500,0.522185,0.000000
50,0.869900,0.470026,0.000000
60,0.876900,0.436170,0.000000
70,0.881800,0.412299,0.000000
80,0.884100,0.394799,0.000000
90,0.887200,0.381672,0.000000
100,0.889900,0.370531,0.000000
110,0.893100,0.361220,0.000000
120,0.895600,0.352909,0.000000
130,0.896500,0.345383,0.000000
140,0.898600,0.338924,0.000000
150,0.900100,0.332337,0.000000
160,0.901000,0.326945,0.000000
170,0.902400,0.321660,0.000000
180,0.903200,0.317100,0.000000
190,0.903600,0.312683,0.000000
200,0.904800,0.308595,0.000000
