round,test_acc,test_loss,sum_byz
0,0.127100,2.303869,0.000000
10,0.479600,1.963634,0.000000
20,0.483900,1.646057,0.000000
30,0.489500,1.457620,0.000000
40,0.499600,1.331919,0.000000
50,0.511800,1.239921,0.000000
60,0.534300,1.165932,0.000000
70,0.563200,1.104391,0.000000
80,0.600500,1.050637,0.000000
90,0.634900,1.001817,0.000000
100,0.670000,0.954656,0.000000
110,0.698400,0.911077,0.000000
120,0.723000,0.869881,0.000000
130,0.743400,0.831234,0.000000
140,0.763400,0.796779,0.000000
150,0.776700,0.765379,0.000000
160,0.789700,0.737354,0.000000
170,0.803200,0.711066,0.000000
180,0.811900,0.688865,0.000000
190,0.818700,0.667562,0.000000
200,0.824300,0.648836,0.000000
