round,test_acc,test_loss
0,0.068600,2.309219
10,0.159300,2.180112
20,0.523300,1.968073
30,0.634600,1.724918
40,0.655200,1.469834
50,0.701500,1.236740
60,0.728800,1.053371
70,0.767000,0.911122
80,0.790200,0.808061
90,0.812000,0.731123
100,0.823400,0.672786
110,0.831600,0.628312
120,0.839100,0.593096
130,0.843900,0.567662
140,0.848900,0.542909
150,0.852200,0.525950
160,0.854300,0.511916
170,0.854400,0.500651
180,0.857000,0.491102
190,0.857200,0.487200
200,0.857900,0.481287
